what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511444457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511451212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511452164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511461368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511461742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511468279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511469121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511469776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511472319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511474643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511477763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511482303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511492084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511495423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511497794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511498418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511499775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511500352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511502318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425511510196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425511518682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425511519852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425511527575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1425511532801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1425511545218
